Generators,Mode,Cents,Closest 12 edo scale,Euclidean Distance
17 25 27 41,0,0 133 476 532 875 1009,0 100 500 500 900 1000,58.267
5 21 39 49,5,0 85 805 889 933 1156,0 100 800 900 900 1200,58.275
11 35 39 43,1,0 39 187 227 396 1031,0 0 200 200 400 1000,58.275
15 23 39 43,0,0 169 285 623 740 909,0 200 300 600 700 900,58.275
7 15 31 45,2,0 322 378 498 1024 1143,0 300 400 500 1000 1100,58.284
11 45 51 53,0,0 38 66 105 322 983,0 0 100 100 300 1000,58.292
3 29 35 39,3,0 187 327 515 840 874,0 200 300 500 800 900,58.301
5 27 33 45,5,0 316 519 663 867 1182,0 300 500 700 900 1200,58.301
13 33 35 45,0,0 22 435 536 685 787,0 0 400 500 700 800,58.301
15 33 37 39,2,0 91 289 836 1035 1126,0 100 300 800 1000 1100,58.301
19 21 35 37,3,0 96 142 981 1027 1123,0 100 100 1000 1000 1100,58.301
31 41 43 45,3,0 79 161 634 716 795,0 100 200 600 700 800,58.301
3 9 21 23,3,0 193 267 425 969 1126,0 200 300 400 1000 1100,58.31
11 33 41 51,5,0 256 378 702 824 1080,0 300 400 700 800 1100,58.31
11 43 47 49,5,0 40 72 112 226 1086,0 0 100 100 200 1100,58.31
13 15 27 29,2,0 7 65 189 1018 1141,0 0 100 200 1000 1100,58.31
33 37 41 51,4,0 198 376 644 822 1020,0 200 400 600 800 1000,58.31
5 15 25 31,5,0 316 372 702 759 1074,0 300 400 700 800 1100,58.318
5 39 47 49,5,0 280 805 1084 1128 1156,0 300 800 1100 1100 1200,58.318
1 23 25 45,2,0 389 427 572 1018 1162,0 400 400 600 1000 1200,58.327
1 31 43 51,5,0 174 512 567 807 862,0 200 500 600 800 900,58.327
5 7 11 51,0,0 3 165 420 782 1038,0 0 200 400 800 1000,58.327
13 15 17 41,3,0 216 464 541 788 1005,0 200 500 500 800 1000,58.327
1 13 23 33,1,0 360 413 572 625 985,0 400 400 600 600 1000,58.335
3 41 45 53,0,0 10 171 283 927 1038,0 0 200 300 900 1000,58.335
5 19 41 45,2,0 72 161 204 1069 1111,0 100 200 200 1100 1100,58.335
5 33 47 51,3,0 192 333 613 780 1059,0 200 300 600 800 1100,58.335
9 25 29 51,5,0 223 569 791 826 1166,0 200 600 800 800 1200,58.335
9 25 37 47,0,0 217 631 678 738 785,0 200 600 700 700 800,58.335
9 25 41 51,0,0 34 377 631 974 1009,0 0 400 600 1000 1000,58.335
11 37 39 43,4,0 170 901 1070 1109 1161,0 200 900 1100 1100 1200,58.335
13 23 25 53,3,0 33 101 988 1055 1088,0 0 100 1000 1100 1100,58.335
35 39 43 51,4,0 187 357 736 905 1092,0 200 400 700 900 1100,58.335
1 7 27 51,4,0 63 807 869 968 1101,0 100 800 900 1000 1100,58.344
1 9 13 31,4,0 101 305 359 941 996,0 100 300 400 900 1000,58.344
7 17 21 47,3,0 304 366 670 864 1006,0 300 400 700 900 1000,58.344
7 31 39 43,1,0 7 176 573 633 1031,0 0 200 600 600 1000,58.344
17 21 43 51,5,0 296 336 794 834 1130,0 300 300 800 800 1100,58.344
19 41 43 53,3,0 132 362 494 576 1118,0 100 400 500 600 1100,58.344
23 25 41 47,2,0 37 856 893 1001 1093,0 0 900 900 1000 1100,58.344
9 23 43 53,2,0 117 362 424 670 786,0 100 400 400 700 800,58.352
15 31 47 49,3,0 57 408 778 1128 1185,0 100 400 800 1100 1200,58.361
19 35 51 53,2,0 66 142 209 691 718,0 100 100 200 700 700,58.361
23 33 37 51,4,0 179 556 625 1002 1180,0 200 600 600 1000 1200,58.361
1 13 29 45,5,0 402 591 761 841 1011,0 400 600 800 800 1000,58.378
1 29 43 53,3,0 170 326 682 838 1008,0 200 300 700 800 1000,58.378
1 41 43 53,3,0 362 430 792 874 1118,0 400 400 800 900 1100,58.378
7 33 45 51,4,0 161 537 698 915 983,0 200 500 700 900 1000,58.378
13 17 27 51,1,0 33 399 433 498 1135,0 0 400 400 500 1100,58.378
13 37 43 47,4,0 85 261 414 871 1025,0 100 300 400 900 1000,58.378
23 25 39 53,5,0 101 285 386 531 1055,0 100 300 400 500 1100,58.378
27 31 33 49,4,0 239 685 924 1032 1092,0 200 700 900 1000 1100,58.395
29 31 43 45,3,0 439 566 1006 1084 1121,0 400 600 1000 1100 1100,58.395
1 3 21 35,1,0 155 231 386 702 885,0 200 200 400 700 900,58.404
1 13 17 27,2,0 65 105 170 465 906,0 100 100 200 500 900,58.404
15 35 43 53,4,0 267 482 623 838 1105,0 300 500 600 800 1100,58.404
17 41 45 53,3,0 283 324 608 769 1039,0 300 300 600 800 1000,58.404
19 21 33 35,4,0 142 783 925 1027 1098,0 100 800 900 1000 1100,58.404
19 23 25 43,2,0 117 261 331 476 592,0 100 300 300 500 600,58.404
23 25 27 45,3,0 38 182 923 1067 1105,0 0 200 900 1100 1100,58.404
27 41 45 53,3,0 283 723 1007 1039 1168,0 300 700 1000 1000 1200,58.412
21 43 47 51,5,0 101 141 295 1005 1159,0 100 100 300 1000 1200,58.421
9 15 33 45,1,0 221 386 536 884 1035,0 200 400 500 900 1000,58.429
11 15 33 49,3,0 165 516 664 1014 1179,0 200 500 700 1000 1200,58.429
15 19 33 45,1,0 127 292 536 790 1035,0 100 300 500 800 1000,58.429
15 33 37 49,1,0 321 486 684 836 1035,0 300 500 700 800 1000,58.429
19 27 39 51,3,0 465 510 564 608 1073,0 500 500 600 600 1100,58.429
23 25 49 53,3,0 101 136 1056 1090 1191,0 100 100 1100 1100 1200,58.429
1 3 25 35,3,0 84 155 583 702 1129,0 100 200 600 700 1100,58.438
5 7 37 51,4,0 135 162 296 717 779,0 100 200 300 700 800,58.438
9 15 39 43,4,0 138 577 715 884 1031,0 100 600 700 900 1000,58.438
11 25 45 51,2,0 35 217 979 1162 1196,0 0 200 1000 1200 1200,58.438
11 27 31 49,4,0 168 607 775 961 1014,0 200 600 800 1000 1000,58.438
11 27 49 51,3,0 99 168 945 1014 1113,0 100 200 900 1000 1100,58.438
15 17 39 43,3,0 238 577 815 984 1031,0 200 600 800 1000 1000,58.438
19 21 27 35,4,0 293 436 609 885 1058,0 300 400 600 900 1100,58.438
7 25 27 47,4,0 133 897 1030 1093 1137,0 100 900 1000 1100 1100,58.447
9 41 45 53,3,0 225 283 509 670 1039,0 200 300 500 700 1000,58.447
13 17 37 51,1,0 464 498 610 644 1109,0 500 500 600 600 1100,58.455
19 25 41 43,0,0 82 724 807 938 1068,0 100 700 800 900 1100,58.455
5 29 49 51,4,0 69 292 420 643 712,0 100 300 400 600 700,58.464
7 9 17 43,1,0 308 407 765 864 1172,0 300 400 800 900 1200,58.464
11 21 27 45,4,0 80 316 396 435 1161,0 100 300 400 400 1200,58.464
19 31 39 43,0,0 44 214 397 566 611,0 0 200 400 600 600,58.464
21 27 37 45,5,0 220 339 765 884 1104,0 200 300 800 900 1100,58.464
11 27 39 51,5,0 99 208 307 563 944,0 100 200 300 600 900,58.472
27 37 39 51,5,0 92 556 637 1101 1193,0 100 600 600 1100 1200,58.472
19 31 35 53,4,0 142 272 414 624 990,0 100 300 400 600 1000,58.481
21 23 39 41,0,0 41 128 199 285 327,0 0 100 200 300 300,58.481
1 9 21 23,5,0 305 571 729 775 933,0 300 600 700 800 900,58.489
5 23 43 49,5,0 110 226 958 1075 1184,0 100 200 1000 1100 1200,58.489
9 13 15 29,3,0 189 315 505 563 1141,0 200 300 500 600 1100,58.489
3 35 39 41,2,0 86 273 360 927 1013,0 100 300 400 900 1000,58.506
5 15 31 53,5,0 227 441 498 928 985,0 200 400 500 900 1000,58.506
5 41 49 51,3,0 43 70 113 421 892,0 0 100 100 400 900,58.506
13 15 17 29,4,0 59 736 794 983 1011,0 100 700 800 1000 1000,58.506
19 21 23 27,5,0 105 278 435 869 1027,0 100 300 400 900 1000,58.515
3 7 9 27,2,0 232 435 498 934 996,0 200 400 500 900 1000,58.523
9 19 47 51,0,0 229 596 690 738 832,0 200 600 700 700 800,58.523
1 3 35 53,4,0 155 482 702 1028 1183,0 200 500 700 1000 1200,58.532
1 3 47 51,4,0 105 666 770 807 1164,0 100 700 800 800 1200,58.532
1 21 23 51,5,0 179 336 572 729 908,0 200 300 600 700 900,58.532
1 27 31 39,5,0 104 343 398 906 961,0 100 300 400 900 1000,58.532
3 19 39 43,0,0 626 795 840 985 1030,0 600 800 800 1000 1000,58.532
5 15 17 37,1,0 82 217 364 919 1066,0 100 200 400 900 1100,58.532
5 17 29 49,5,0 282 557 633 908 1190,0 300 600 600 900 1200,58.532
5 29 33 37,1,0 89 224 422 867 1066,0 100 200 400 900 1100,58.532
7 17 21 37,1,0 117 336 482 834 981,0 100 300 500 800 1000,58.532
7 27 37 53,2,0 32 482 515 578 1137,0 0 500 500 600 1100,58.532
9 13 17 45,1,0 386 485 636 735 1122,0 400 500 600 700 1100,58.532
19 23 39 49,1,0 285 330 395 440 726,0 300 300 400 400 700,58.532
25 27 29 51,3,0 34 133 978 1076 1111,0 0 100 1000 1100 1100,58.532
1 13 41 45,2,0 161 411 590 841 1002,0 200 400 600 800 1000,58.541
11 15 21 51,2,0 80 336 663 919 999,0 100 300 700 900 1000,58.541
15 21 37 51,5,0 220 281 501 837 864,0 200 300 500 800 900,58.541
15 25 31 49,1,0 35 57 92 408 885,0 0 100 100 400 900,58.541
9 19 43 47,5,0 525 739 832 892 986,0 500 700 800 900 1000,58.566
1 3 7 35,4,0 155 387 702 933 1088,0 200 400 700 900 1100,58.575
1 3 21 41,2,0 198 429 471 928 969,0 200 400 500 900 1000,58.575
1 5 33 35,5,0 712 813 867 1045 1098,0 700 800 900 1000 1100,58.575
17 25 35 47,1,0 511 561 618 668 1179,0 500 600 600 700 1200,58.575
5 15 19 23,5,0 372 460 702 870 1112,0 400 500 700 900 1100,58.583
7 11 17 21,3,0 366 418 784 864 1120,0 400 400 800 900 1100,58.583
11 13 31 51,0,0 33 289 338 593 627,0 0 300 300 600 600,58.583
11 29 43 47,5,0 40 364 404 518 1086,0 0 400 400 500 1100,58.583
21 25 33 51,5,0 384 418 720 864 1166,0 400 400 700 900 1200,58.583
25 37 45 51,5,0 305 339 521 983 1166,0 300 300 500 1000 1200,58.583
37 41 43 47,5,0 704 786 940 964 1118,0 700 800 900 1000 1100,58.583
23 31 45 51,3,0 38 217 684 862 900,0 0 200 700 900 900,58.592
7 11 27 45,0,0 38 62 101 417 884,0 0 100 100 400 900,58.6
9 39 41 45,4,0 86 814 900 1039 1061,0 100 800 900 1000 1100,58.6
17 25 41 51,0,0 34 377 532 875 910,0 0 400 500 900 900,58.6
19 31 43 51,0,0 124 338 633 690 985,0 100 300 600 700 1000,58.6
1 19 21 41,0,0 131 173 429 470 602,0 100 200 400 500 600,58.609
3 29 39 45,4,0 112 360 439 687 799,0 100 400 400 700 800,58.609
5 19 25 31,0,0 88 441 475 827 916,0 100 400 500 800 900,58.609
9 13 15 41,4,0 315 541 563 788 1104,0 300 500 600 800 1100,58.609
11 15 31 33,2,0 428 536 593 1035 1091,0 400 500 600 1000 1100,58.609
11 15 31 45,3,0 498 606 1105 1143 1161,0 500 600 1100 1100 1200,58.609
15 31 33 37,2,0 728 836 893 1035 1091,0 700 800 900 1000 1100,58.609
15 31 37 45,3,0 306 498 805 861 1143,0 300 500 800 900 1100,58.609
15 33 47 51,4,0 282 613 894 1035 1059,0 300 600 900 1000 1100,58.609
5 25 39 49,4,0 35 387 805 1156 1191,0 0 400 800 1200 1200,58.617
11 35 41 51,5,0 256 378 804 926 1182,0 300 400 800 900 1200,58.617
35 37 41 51,4,0 96 274 644 822 918,0 100 300 600 800 900,58.617
1 25 39 47,0,0 104 427 534 769 876,0 100 400 500 800 900,58.634
3 39 41 45,2,0 87 112 198 360 1039,0 100 100 200 400 1000,58.634
7 25 27 33,4,0 63 720 782 916 1067,0 100 700 800 900 1100,58.634
9 13 39 49,1,0 395 498 533 636 1032,0 400 500 500 600 1000,58.634
11 13 17 51,2,0 209 464 498 911 944,0 200 500 500 900 900,58.634
11 19 21 35,1,0 80 142 223 396 1027,0 100 100 200 400 1000,58.634
1 7 39 47,2,0 231 534 573 877 1108,0 200 500 600 900 1100,58.643
5 35 37 41,0,0 134 177 231 273 408,0 100 200 200 300 400,58.643
7 17 19 35,1,0 143 193 814 864 1007,0 100 200 800 900 1000,58.643
9 21 35 47,5,0 423 689 738 884 933,0 400 700 700 900 900,58.643
9 35 43 49,1,0 308 357 534 583 891,0 300 400 500 600 900,58.643
15 31 33 45,4,0 56 537 593 702 1091,0 100 500 600 700 1100,58.643
15 31 39 47,3,0 398 423 821 877 1144,0 400 400 800 900 1100,58.643
21 23 35 53,2,0 158 403 473 719 876,0 200 400 500 700 900,58.643
5 23 33 35,5,0 394 625 727 867 969,0 400 600 700 900 1000,58.652
5 33 35 41,5,0 594 825 867 927 969,0 600 800 900 900 1000,58.652
23 35 41 53,2,0 199 445 473 719 918,0 200 400 500 700 900,58.652
11 27 41 51,0,0 98 122 221 476 944,0 100 100 200 500 900,58.66
11 29 33 51,1,0 224 256 479 702 978,0 200 300 500 700 1000,58.66
27 37 41 51,0,0 98 476 644 1022 1121,0 100 500 600 1000 1100,58.66
29 33 37 51,3,0 198 222 421 644 976,0 200 200 400 600 1000,58.66
1 13 29 33,1,0 171 224 360 413 584,0 200 200 400 400 600,58.669
19 21 23 51,5,0 174 331 864 1022 1195,0 200 300 900 1000 1200,58.669
1 11 13 43,3,0 289 511 801 840 1160,0 300 500 800 800 1200,58.677
1 13 37 43,1,0 260 511 589 840 1101,0 300 500 600 800 1100,58.677
3 25 31 47,4,0 71 721 791 828 1164,0 100 700 800 800 1200,58.677
9 15 23 53,1,0 215 460 531 776 991,0 200 500 500 800 1000,58.677
9 19 35 47,5,0 597 690 739 1058 1107,0 600 700 700 1100 1100,58.677
19 25 31 35,4,0 142 373 515 725 990,0 100 400 500 700 1000,58.677
1 23 25 43,2,0 117 261 628 773 889,0 100 300 600 800 900,58.686
3 19 21 41,2,0 99 231 273 1027 1068,0 100 200 300 1000 1100,58.686
5 33 45 51,4,0 217 421 663 867 1084,0 200 400 700 900 1100,58.686
7 11 25 27,4,0 133 783 916 979 1137,0 100 800 900 1000 1100,58.686
21 23 25 35,2,0 158 302 473 618 775,0 200 300 500 600 800,58.703
23 35 37 51,3,0 82 179 556 727 1104,0 100 200 600 700 1100,58.703
1 19 29 31,4,0 115 298 413 468 1145,0 100 300 400 500 1100,58.711
13 31 39 51,5,0 305 464 769 803 1166,0 300 500 800 800 1200,58.711
27 35 39 43,5,0 188 357 637 806 993,0 200 400 600 800 1000,58.711
31 39 45 53,5,0 284 531 555 803 1086,0 300 500 600 800 1100,58.711
11 33 39 43,1,0 39 289 329 498 1031,0 0 300 300 500 1000,58.72
17 23 43 53,2,0 117 362 523 769 885,0 100 400 500 800 900,58.72
3 19 33 53,2,0 171 244 416 796 820,0 200 200 400 800 800,58.728
11 17 29 51,2,0 20 275 498 722 944,0 0 300 500 700 900,58.728
11 17 41 51,0,0 122 498 620 875 944,0 100 500 600 900 900,58.728
17 37 41 51,0,0 320 498 644 875 1022,0 300 500 600 900 1000,58.728
1 13 15 43,3,0 112 360 624 871 983,0 100 400 600 900 1000,58.737
1 17 21 23,5,0 206 571 676 729 834,0 200 600 700 700 800,58.737
5 11 41 47,1,0 122 165 236 279 402,0 100 200 200 300 400,58.737
5 15 23 29,3,0 401 498 900 958 1141,0 400 500 900 1000 1100,58.737
15 19 49 51,5,0 282 440 722 791 1131,0 300 400 700 800 1100,58.737
23 37 43 47,2,0 38 261 298 415 1084,0 0 300 300 400 1100,58.737
3 13 15 51,5,0 781 814 919 1062 1167,0 800 800 900 1100 1200,58.745
3 23 39 45,3,0 38 111 286 359 397,0 0 100 300 400 400,58.745
7 9 43 47,5,0 304 457 739 893 1196,0 300 500 700 900 1200,58.745
9 11 21 47,5,0 81 738 819 933 1086,0 100 700 800 900 1100,58.745
19 21 35 51,4,0 142 316 690 864 1006,0 100 300 700 900 1000,58.754
17 27 37 49,1,0 399 545 567 713 1113,0 400 500 600 700 1100,58.762
27 31 35 49,2,0 168 210 378 618 961,0 200 200 400 600 1000,58.762
27 31 37 49,2,0 168 306 474 714 961,0 200 300 500 700 1000,58.762
1 3 17 47,3,0 69 105 604 666 1164,0 100 100 600 700 1200,58.771
1 33 35 45,5,0 508 609 663 1044 1098,0 500 600 700 1000 1100,58.771
5 27 39 43,2,0 511 636 680 1031 1074,0 500 600 700 1000 1100,58.771
13 17 35 43,0,0 108 464 514 793 843,0 100 500 500 800 800,58.771
15 19 33 37,4,0 592 791 837 956 1002,0 600 800 800 1000 1000,58.771
15 21 31 45,3,0 498 525 1024 1080 1143,0 500 500 1000 1100 1100,58.771
15 31 49 53,1,0 57 136 193 408 986,0 100 100 200 400 1000,58.771
3 13 33 43,4,0 139 459 597 788 1010,0 100 500 600 800 1000,58.779
1 13 29 39,1,0 328 498 687 840 1030,0 300 500 700 800 1000,58.796
3 41 43 53,1,0 82 272 838 1028 1111,0 100 300 800 1000 1100,58.796
5 11 27 47,2,0 114 680 794 960 1035,0 100 700 800 1000 1000,58.796
5 39 45 47,5,0 204 877 1080 1124 1156,0 200 900 1100 1100 1200,58.796
19 27 45 49,0,0 124 292 440 884 1031,0 100 300 400 900 1000,58.796
19 31 41 49,0,0 131 440 484 792 924,0 100 400 500 800 900,58.796
11 17 49 51,3,0 186 255 633 702 888,0 200 300 600 700 900,58.805
13 15 17 27,4,0 182 736 918 983 1135,0 200 700 900 1000 1100,58.805
13 15 39 53,3,0 33 455 488 702 986,0 0 500 500 700 1000,58.805
19 39 41 49,5,0 674 760 805 1069 1114,0 700 800 800 1100 1100,58.805
15 17 23 53,5,0 309 523 740 768 985,0 300 500 700 800 1000,58.813
27 29 45 53,4,0 32 761 793 917 1076,0 0 800 800 900 1100,58.813
1 5 11 15,3,0 387 537 924 1035 1089,0 400 500 900 1000 1100,58.822
13 17 33 39,5,0 176 413 465 911 963,0 200 400 500 900 1000,58.822
17 29 45 53,3,0 275 431 761 917 1192,0 300 400 800 900 1200,58.822
15 23 39 51,0,0 4 285 464 740 918,0 0 300 500 700 900,58.83
25 29 35 53,3,0 101 257 719 875 975,0 100 300 700 900 1000,58.83
9 13 15 27,2,0 65 316 381 564 1018,0 100 300 400 600 1000,58.839
13 19 23 49,5,0 228 330 440 987 1097,0 200 300 400 1000 1100,58.839
15 19 23 49,4,0 110 441 460 791 900,0 100 400 500 800 900,58.839
15 23 27 53,5,0 708 740 922 985 1167,0 700 700 900 1000 1200,58.839
3 15 33 45,4,0 386 537 923 1035 1088,0 400 500 900 1000 1100,58.847
5 11 15 19,4,0 88 537 625 790 1035,0 100 500 600 800 1000,58.847
11 41 43 47,5,0 40 963 1003 1086 1117,0 0 1000 1000 1100 1100,58.847
15 27 37 47,5,0 183 414 597 837 960,0 200 400 600 800 1000,58.847
17 37 45 47,1,0 339 414 485 561 900,0 300 400 500 600 900,58.847
11 17 45 47,2,0 39 114 485 561 599,0 0 100 500 600 600,58.856
15 25 35 43,4,0 261 577 617 933 1194,0 300 600 600 900 1200,58.856
1 3 27 47,4,0 204 666 869 906 1164,0 200 700 900 900 1200,58.864
3 13 15 23,5,0 602 740 814 988 1061,0 600 700 800 1000 1100,58.864
11 21 51 53,2,0 67 322 864 1120 1186,0 100 300 900 1100 1200,58.864
21 37 51 53,4,0 67 220 286 622 864,0 100 200 300 600 900,58.864
1 13 29 37,1,0 419 589 778 840 1030,0 400 600 800 800 1000,58.873
7 37 45 51,5,0 162 338 500 717 983,0 200 300 500 700 1000,58.873
9 13 15 17,2,0 217 316 465 564 780,0 200 300 500 600 800,58.873
11 19 35 45,3,0 39 292 804 1057 1096,0 0 300 800 1100 1100,58.873
19 23 45 53,3,0 38 283 331 576 614,0 0 300 300 600 600,58.873
23 43 45 53,4,0 38 117 283 362 400,0 0 100 300 400 400,58.873
7 11 15 51,5,0 502 663 783 919 1038,0 500 700 800 900 1000,58.881
7 15 37 51,5,0 162 281 717 837 998,0 200 300 700 800 1000,58.881
9 21 33 47,5,0 321 587 738 782 933,0 300 600 700 800 900,58.881
9 35 39 49,0,0 138 187 533 582 721,0 100 200 500 600 700,58.881
15 19 41 45,1,0 161 409 570 702 1069,0 200 400 600 700 1100,58.881
17 31 33 43,2,0 108 160 742 794 902,0 100 200 700 800 900,58.89
21 31 39 45,1,0 119 397 517 645 1072,0 100 400 500 600 1100,58.89
15 19 27 49,0,0 182 440 622 790 1031,0 200 400 600 800 1000,58.898
19 25 29 43,3,0 206 467 682 724 938,0 200 500 700 700 900,58.898
29 35 43 51,4,0 223 357 579 875 905,0 200 400 600 900 900,58.898
5 13 23 51,0,0 208 241 420 987 1166,0 200 200 400 1000 1200,58.907
9 11 13 51,3,0 256 290 604 637 893,0 300 300 600 600 900,58.907
9 13 37 51,0,0 7 563 596 610 644,0 0 600 600 600 600,58.907
1 29 33 43,1,0 171 224 689 742 913,0 200 200 700 700 900,58.915
5 11 29 33,3,0 333 478 812 977 1035,0 300 500 800 1000 1000,58.915
9 19 21 41,5,0 802 933 975 1027 1068,0 800 900 1000 1000 1100,58.915
13 15 29 43,4,0 189 624 813 871 1142,0 200 600 800 900 1100,58.915
15 23 51 53,1,0 179 215 393 460 1134,0 200 200 400 500 1100,58.915
15 35 43 45,3,0 78 435 577 933 1012,0 100 400 600 900 1000,58.915
25 27 41 51,0,0 34 133 377 476 511,0 0 100 400 500 500,58.915
1 21 27 29,4,0 123 471 594 765 1029,0 100 500 600 800 1000,58.924
3 21 23 27,3,0 691 765 923 969 1126,0 700 800 900 1000 1100,58.924
13 17 35 39,5,0 278 465 515 963 1013,0 300 500 500 1000 1000,58.924
13 17 37 39,5,0 374 465 611 963 1109,0 400 500 600 1000 1100,58.924
15 39 41 51,1,0 87 465 541 919 1006,0 100 500 500 900 1000,58.924
9 11 41 51,0,0 122 596 719 944 974,0 100 600 700 900 1000,58.932
9 37 41 51,0,0 419 596 644 974 1022,0 400 600 600 1000 1000,58.932
11 29 35 51,1,0 256 326 581 804 978,0 300 300 600 800 1000,58.932
29 35 37 51,3,0 96 222 319 644 874,0 100 200 300 600 900,58.932
3 21 23 51,4,0 74 179 231 336 410,0 100 200 200 300 400,58.941
3 11 29 51,5,0 617 721 872 944 1095,0 600 700 900 900 1100,58.949
5 11 39 45,3,0 39 204 992 1157 1195,0 0 200 1000 1200 1200,58.949
9 13 17 19,0,0 93 192 636 735 829,0 100 200 600 700 800,58.949
9 27 37 49,1,0 487 534 655 702 1189,0 500 500 700 700 1200,58.949
13 19 27 31,1,0 304 543 608 895 961,0 300 500 600 900 1000,58.949
19 23 31 49,1,0 331 440 683 793 1124,0 300 400 700 800 1100,58.949
19 45 49 51,5,0 224 293 440 983 1131,0 200 300 400 1000 1100,58.949
29 45 51 53,5,0 695 761 917 978 1134,0 700 800 900 1000 1100,58.949
35 37 39 43,3,0 96 187 940 1031 1127,0 100 200 900 1000 1100,58.949
37 45 51 53,4,0 66 339 405 622 983,0 100 300 400 600 1000,58.949
41 45 51 53,2,0 66 283 822 1039 1105,0 100 300 800 1000 1100,58.949
1 9 19 49,0,0 93 297 533 737 831,0 100 300 500 700 800,58.966
1 25 29 43,3,0 170 427 682 938 1109,0 200 400 700 900 1100,58.975
1 25 41 43,0,0 82 427 509 770 938,0 100 400 500 800 900,58.975
11 39 43 47,2,0 115 170 284 324 1161,0 100 200 300 300 1200,58.975
17 21 27 51,0,0 98 435 498 834 933,0 100 400 500 800 900,58.975
23 27 31 45,3,0 38 316 684 961 999,0 0 300 700 1000 1000,58.975
29 31 45 51,2,0 101 216 439 862 1084,0 100 200 400 900 1100,58.975
31 41 45 51,3,0 216 484 701 862 1039,0 200 500 700 900 1000,58.975
1 13 39 41,1,0 87 429 498 841 928,0 100 400 500 800 900,58.983
7 25 27 37,2,0 133 482 616 679 1137,0 100 500 600 700 1100,58.983
23 41 47 53,2,0 38 756 793 993 1001,0 0 800 800 1000 1000,58.983
3 7 43 51,3,0 162 267 905 1009 1171,0 200 300 900 1000 1200,58.992
3 29 45 53,5,0 590 761 873 917 1029,0 600 800 900 900 1000,58.992
11 17 47 53,2,0 317 431 639 878 1085,0 300 400 600 900 1100,58.992
13 33 35 43,4,0 102 459 515 871 973,0 100 500 500 900 1000,58.992
35 43 45 53,2,0 79 362 435 719 797,0 100 400 400 700 800,58.992
5 27 29 49,4,0 388 557 680 908 1032,0 400 600 700 900 1000,59.0
7 25 29 41,5,0 404 600 660 943 1004,0 400 600 700 900 1000,59.0
29 33 43 47,4,0 94 459 612 682 836,0 100 500 600 700 800,59.0
33 43 47 49,4,0 386 459 612 974 1128,0 400 500 600 1000 1100,59.0
1 5 31 47,4,0 93 480 534 759 814,0 100 500 500 800 800,59.008
11 23 27 51,2,0 77 256 923 1102 1178,0 100 300 900 1100 1200,59.008
23 27 37 51,0,0 98 277 644 823 922,0 100 300 600 800 900,59.008
1 5 41 49,1,0 309 387 695 738 1158,0 300 400 700 700 1200,59.017
1 17 31 39,5,0 105 159 342 397 502,0 100 200 300 400 500,59.017
3 5 29 49,5,0 292 315 607 643 1164,0 300 300 600 600 1200,59.017
5 35 41 47,3,0 231 274 921 963 1194,0 200 300 900 1000 1200,59.017
7 19 27 35,1,0 387 609 995 1058 1138,0 400 600 1000 1100 1100,59.017
7 23 29 49,4,0 231 799 1030 1090 1139,0 200 800 1000 1100 1100,59.017
13 31 33 51,3,0 34 338 788 1092 1126,0 0 300 800 1100 1100,59.025
19 33 37 53,3,0 198 244 578 624 822,0 200 200 600 600 800,59.025
5 13 23 27,0,0 65 241 307 519 987,0 100 200 300 500 1000,59.034
3 15 23 53,1,0 74 215 288 460 1029,0 100 200 300 500 1000,59.042
3 17 21 23,3,0 292 366 524 969 1127,0 300 400 500 1000 1100,59.042
5 23 35 37,0,0 134 231 376 473 608,0 100 200 400 500 600,59.042
17 23 37 51,0,0 121 498 644 676 823,0 100 500 600 700 800,59.042
27 29 35 43,4,0 124 357 480 806 875,0 100 400 500 800 900,59.042
1 3 21 29,3,0 328 471 799 969 1030,0 300 500 800 1000 1000,59.051
1 5 21 31,4,0 288 675 729 759 814,0 300 700 700 800 800,59.051
1 7 13 21,4,0 128 471 599 830 969,0 100 500 600 800 1000,59.051
1 7 19 23,2,0 231 529 572 870 1101,0 200 500 600 900 1100,59.051
1 9 25 35,3,0 155 204 583 631 786,0 200 200 600 600 800,59.051
1 21 39 47,5,0 407 535 730 877 1072,0 400 500 700 900 1100,59.051
11 13 43 47,5,0 40 175 215 329 1086,0 0 200 200 300 1100,59.051
11 15 33 39,3,0 290 537 827 992 1035,0 300 500 800 1000 1000,59.051
31 33 35 45,2,0 108 210 663 765 873,0 100 200 700 800 900,59.051
1 11 13 41,3,0 289 429 719 841 1078,0 300 400 700 800 1100,59.059
1 13 37 41,1,0 178 429 589 841 1019,0 200 400 600 800 1000,59.059
9 41 43 53,3,0 226 362 588 670 1118,0 200 400 600 700 1100,59.059
1 3 39 43,0,0 329 498 688 840 1030,0 300 500 700 800 1000,59.068
3 39 43 45,0,0 78 840 919 1030 1088,0 100 800 900 1000 1100,59.068
5 19 29 45,1,0 204 468 672 761 1112,0 200 500 700 800 1100,59.068
25 33 41 53,4,0 101 376 476 820 856,0 100 400 500 800 900,59.068
1 9 35 53,3,0 155 204 482 530 685,0 200 200 500 500 700,59.076
1 23 33 43,5,0 114 572 625 689 742,0 100 600 600 700 700,59.076
3 21 39 53,4,0 128 172 300 531 969,0 100 200 300 500 1000,59.076
3 25 39 53,4,0 71 172 430 531 602,0 100 200 400 500 600,59.076
5 35 43 53,3,0 232 362 594 719 1075,0 200 400 600 700 1100,59.076
7 35 51 53,3,0 67 162 719 814 880,0 100 200 700 800 900,59.076
